1,社会,しゃかい,xã hội
1,13植民地,じゅうさんしょくみんち,13 thuộc địa
1,３B政策,３Bせいさく,chính sách 3B
1,３C政策,３Cせいさく,chính sách 3C
1,55年体制,ごじゅうごねんたいせい,thể chế 1955
1,AAA (農業調整法),のうぎょうちょうせいほう,AAA (Đạo luật điều chỉnh Nông nghiệp)
1,AEC  (ASEAN(経済)共同体),けいざいきょうどうたい,AEC (Cộng đồng (Kinh tế) ASEAN)
1,AFTA(ASEAN自由貿易地域),じゆうぼうえきちいき,AFTA (Khu vực Mậu dịch Tự do ASEAN)
1,APEC  (アジア太平洋経済協力会議),アジアたいへいようけいざいきょうりょくかいぎ,Diễn đàn Hợp tác Kinh tế châu Á - Thái Bình Dương (APEC)
1,ASEAN(経済)共同体  (AEC),ASEANけいざいきょうどうたい,Cộng đồng (Kinh tế) ASEAN (AEC)
1,ASEAN自由貿易地域(AFTA),ASEANじゆうぼうえきちいき,Khu vực Mậu dịch Tự do ASEAN (AFTA)
1,AU (アフリカ連合),アフリカれんごう,AU (Liên minh châu Phi)
1,BRICs,,"Liên minh các nền kinh tế mới nổi (Braxin, Nga, Ấn Đ ộ, Trung Quốc, Nam Phi)"
1,CBD (中心業務地区),ちゅうしんぎょうむちく,CBD (khu vực thương mại trung tâm)
1,CIS (独立国家共同体）,どくりつこっかきょうどうたい,CIS (Cộng đồng các quốc gia độc lập)
1,CO２  (二酸化炭素）,にさんかたんそ,"CO2 (cácbon điôxít , khí cácbon)"
1,COMECON  (東ヨーロッパ経済相互援助会議),ひがしヨーロッパけいざいそうごえんじょかいぎ,COMECON (Hội đồng tương trợ Kinh tế Đông Âu)
1,CTBT (包括的核実験禁止条約),ほうかつてきかくじっけんきんしじょうやく,CTBT (Hiệp ước cấm thử nghiệm hạt nhân toàn diện)
1,DAC(開発援助委員会),かいはつえんじょいいんかい,DAC (Ủy ban Viện trợ Phát triển)
1,EC(ヨーロッパ共同体),ヨーロッパきょうどうたい,Cộng đồng châu Âu (EC)
1,ECB (ヨーロッパ中央銀行),ヨーロッパちゅうおうぎんこう,ECB (Ngân hàng Trung ương châu Âu)
1,ECSC (ヨーロッパ石炭鉄鋼共同体),ヨーロッパたんてっこうきょうどうたい,ECSC (Cộng đồng Than - Thép châu Âu)
1,EEC (ヨーロッパ経済共同体),ヨーロッパけいざいきょうどうたい,EEC (Cộng đồng Kinh tế châu Âu)
1,EEZ (排他的経済水域),はいたてきけいざいすいいき,EEZ (vùng đặc quyền kinh tế)
1,EFTA (ヨーロッパ自由貿易連合),ヨーロッパじゆうぼうえきれんごう,EFTA (Hiệp hội Mậu dịch Tự do châu Âu)
1,EPA (経済連携協定),けいざいれんけいきょうてい,EPA (Hiệp định đối tác Kinh tế)
1,EU (ヨーロッパ連合),ヨーロッパれんごう,EU (Liên minh châu Âu)
1,EURATOM(ヨーロッパ原子力共同体),ヨーロッパげんしりょくきょうどうたい,EURATOM (Cộng đồng Năng lượng Nguyên tử châu Â u)
1,EU首脳会議,EUしゅのうかいぎ,Hội nghị thượng đỉnh châu Âu
1,eコマース,,giao dịch điện tử
1,FAO (国連食糧農業機関),こくれんしょくりょうのうぎょうきかん,FAO (Tổ chức Lương thực và Nông nghiệp Liên hiệp quốc)
1,FTA (自由貿易協定),じゆうぼうえききょうてい,FTA (Hiệp định Tự do mậu dịch)
1,G8 (主要国首脳会議),しゅようこくしゅのうかいぎ,G8 (Hội nghị thượng đỉnh các nước chủ chốt)
1,GATT  (関税と貿易に関する一般協定),かんぜいとぼうえきにかんするいっぱんきょうてい,GATT (Hiệp ước chung về thuế quan và mậu dịch)
1,GDP (国内総生産),こくないそうせいさん,tổng sản phẩm nội địa (GDP)
1,GHQ  (連合国軍最高司令官総司令部),れんごうこくぐんさいこうしれいかんそうしれいぶ,GHQ (Tổng tư lệnh bộ tư lệnh tối cao quân đội Liên hiệp quốc)
1,GIS (地理情報システム),ちりじょうほうシステム,GIS (hệ thống thông tin địa lý)
1,GNI (国民総所得）,こくみんそうしょとく,GNI (tổng thu nhập quốc dân)
1,GNP (国民総生産),こくみんそうせいさん,GNP (tổng sản lượng quốc gia)
1,GPS (全地球測位システム),ぜんちきゅうそくいシステム,GPS (hệ thống định vị toàn cầu)
1,IAEA (国際原子力機関),こくさいげんしりょくきかん,IAEA (Cơ quan Năng lượng Nguyên tử Quốc tế )
1,IBRD (国際復興開発銀行),こくさいふっこうかいはつぎんこう,IBRD (Ngân hàng Kiến thiết và Phát triển Quốc tế)
1,ICC(国際刑事裁判所),こくさいけいじさいばんしょ,ICC (Tòa án Hình sự Quốc tế)
1,ICJ (国際司法裁判所),こくさいしほうさいばんしょ,ICJ (Tòa án Công lý Quốc tế)
1,ILO(国際労働機関),こくさいろうどうきかん,ILO (Tổ chức Lao động Quốc tế)
1,IMF (国際通貨基金),こくさいつうかききん,IMF (Quỹ Tiền tệ Quốc tế)
1,IMF体制,たいせい,hệ thống IMF
1,INF全廃条約 (中距離核戦力全廃条約),ぜんぱいじょうやちゅうきょりかくせんりょくぜんぱいじょうやく,Hiệp ước Hủy bỏ vũ khí hạt nhân tầm trung (INF)
1,IT基本法,ITきほんほう,Luật IT cơ bản
1,IWA(国際労働者協会),こくさいろうどうしゃきょうかい,IWA (Hiệp hội Người lao động Quốc tế)
1,LDC (後発発展途上国),こうはつはってんとじょうこく,LDC (các quốc gia kém phát triển nhất)
1,M&A,,viết tắt của Mergers & Acquisitions (Mua bán & Sáp nhập)
1,MERCOSUR(南米南部共同市場),なんべいなんぶきょうどうしじょう,MERCOSUR (Hiệp định Thương mại Tự do Nam Mỹ)
1,NAFTA (北米自由貿易協定),ほくべいじゆうぼうえききょうてい,NAFTA (Hiệp định Thương mại Tự do Bắc Mỹ)
1,NATO (北大西洋条約機構),きたたいせいようじょうやくきこう,NATO (Tổ chức Hiệp ước Bắc Đại Tây Dương)
1,NGO (非政府組織),ひせいふそしき,NGO (Tổ chức phi chính phủ)
1,NIEO (新国際経済秩序の樹立に関する宣言),しんこくさいけいざいちつじょじゅりつかんせんげん,NIEO (Tuyên bố về Thiết lập Trật tự Kinh tế Quốc tế mới )
1,NIEs (新興工業地域),しんこうこうぎょうちいき,NIEs (nước Công nghiệp mới)
1,NIRA (全国産業復興法),ぜんこくさんぎょうふっこうほう,NIRA (Đạo luật phục hồi công nghiệp quốc gia)
1,NNP (国民純生産),こくみんじゅんせいさん,NNP (tổng sản phẩm ròng quốc gia)
1,NPO (民間非営利組織),みんかんひえいりそしき,NPO (Tổ chức phi lợi nhuận)
1,NPT (核拡散防止条約),かくかくさんぼうしじょうやく,NPT (Hiệp ước không phổ biến vũ khí hạt nhân)
1,OAPEC  (アラブ石油輸出国機構),アラブせきゆゆしゅつこくきこう,OAPEC (Tổ chức các nước Ả Rập xuất khẩu dầu lửa)
1,OAU (アフリカ統一機構),アフリカとういつきこう,OAU (Tổ chức châu Phi thống nhất)
1,ODA (政府開発援助),せいふかいはつえんじょ,ODA (Hỗ trợ Phát triển Chính thức)
1,ODA４原則,ODAよんげんそく,4 nguyên tắc của ODA
1,OECD (経済協力開発機構),けいざいきょうりょくかいはつきこう,OECD (Tổ chức Hợp tác và Phát triển Kinh tế)
1,OPEC (石油輸出国機構),せきゆゆしゅつこくきこう,OPEC (Tổ chức các nước xuất khẩu dầu lửa)
1,PKF (国連平和維持軍),こくれんへいわいじぐん,PKF (Lực lượng Gìn giữ Hòa bình Liên hiệp quốc)
1,PKO (国連平和維持活動),こくれんへいわいじかつどう,PKO (Hoạt động gìn giữ hòa bình Liên hiệp quốc)
1,PKOの４原則,PKOのよんげんそく,4 nguyên tắc của PKO
1,PKO協力法,PKOきょうりょくほう,Luật hợp tác PKO
1,PL法,PLほう,Luật PL
1,PTBT (部分的核実験停止条約),ぶぶんてきかくじっけんていしじょうやく,PTBT (Hiệp ước cấm thử nghiệm hạt nhân một phần)
1,RCEP  (東アジア地域包括的経済連携),ひがしアジアちいきほうかつてきけいざいれんけい,RCEP (Hiệp định Đối tác Kinh tế Toàn diện Khu vực)
1,SOHO,,viết tắt của Văn phòng nhỏ - Văn phòng ở nhà
1,STARTⅠ(戦略兵器削減条約(第１次)),せんりゃくへいきさくげんじょうやくだいじ,START I (Hiệp ước cắt giảm vũ khí chiến lược (lần thứ 1))
1,STARTⅡ(戦略兵器削減条約(第２次)),せんりゃくへいきさくげんじょうやくだいじ,START II (Hiệp ước cắt giảm vũ khí chiến lược (lần thứ 2)
1,TPP協定 (環太平洋パートナーシップ協定),TPPきょうてい（かんたいへいようきょうてい）,TPP (Hiệp định đối tác xuyên Thái Bình Dương )
1,TVA (テネシー川流域開発公社),がわりゅういきかいはつこうしゃ,TVA (công ty phát triển lưu vực sông Tennessee)
1,UNCED (国連環境開発会議),こくれんかんきょうかいはつかいぎ,UNCED (Hội nghị Liên hiệp quốc về Môi trường và Ph át triển)
1,UNCHE (国連人間環境会議),こくれんにんげんかんきょうかいぎ,UNCHE (Hội nghị Liên hiệp quốc về Môi trường Con người)
1,UNCTAD (国連貿易開発会議),こくれんぼうえきかいはつかいぎ,UNCTAD (Hội nghị Liên hiệp quốc về Thương mại và Phát triển)
1,UNEP (国連環境計画),こくれんかんきょうけいかく,UNEP (Chương trình Môi trường Liên hiệp quốc)
1,UNESCO (国連教育科学文化機関 ),こくれんきょういくかがくぶんかきかん,"UNESCO (Tổ chức Giáo dục, Khoa học và Văn hóa Liê n hiệp quốc)"
1,UNF (国連軍),こくれんぐん,UNF (Đội quân Liên hiệp quốc)
1,UNHCR (国連難民高等弁務官事務所),こくれんなんみんこうとうべんむかんじむしょ,UNHCR (Cao ủy Liên hiệp quốc về Người tị nạn)
1,UNICEF (国連児童基金),こくれんじどうききん,UNICEF (Quỹ Nhi đồng Liên hiệp quốc)
1,WFP (世界食糧計画),せかいしょくりょうけいかく,WFP (Chương trình Lương thực Thế giới)
1,WHO (世界保健機関）,せかいほけんきかん,WHO (Tổ chức Y tế Thế giới)
1,WIPO (世界知的所有権機関),せかいちてきしょゆうけんきかん,WIPO (Tổ chức Sở hữu Trí tuệ Thế giới)
1,WTO (世界貿易機関）,せかいぼうえききかん,WTO (Tổ chức Thương mại Thế giới )
1,WWF(世界自然保護基金),せかいしぜんほごききん,WWF (Quỹ Quốc tế Bảo vệ Thiên nhiên)
1,アイヌ,,Ainu
